eKE/eV,Raw,eKE/eV,Fit,eKE/eV,Retrieved
3.9926,2.16E-04,0.21,0.36446,0.01,0.15354
3.98279,4.33E-04,0.22,0.37223,0.02,0.15885
3.97301,0,0.23,0.38012,0.03,0.16428
3.96325,4.36E-04,0.24,0.39421,0.04,0.16985
3.95353,4.37E-04,0.25,0.42902,0.05,0.17554
3.94383,4.39E-04,0.26,0.41878,0.06,0.18137
3.93416,4.40E-04,0.27,0.45859,0.07,0.18732
3.92453,0,0.28,0.44764,0.08,0.19341
3.91492,2.21E-04,0.29,0.4815,0.09,0.19962
3.90534,6.66E-04,0.3,0.49207,0.1,0.20597
3.89579,4.45E-04,0.31,0.51,0.11,0.21244
3.88627,2.23E-04,0.32,0.51868,0.12,0.21904
3.87677,6.72E-04,0.33,0.52072,0.13,0.22578
3.86731,4.49E-04,0.34,0.53926,0.14,0.23264
3.85787,0,0.35,0.55975,0.15,0.23963
3.84846,6.78E-04,0.36,0.55845,0.16,0.24675
3.83908,9.07E-04,0.37,0.58432,0.17,0.25399
3.82973,6.82E-04,0.38,0.58674,0.18,0.26136
3.8204,6.84E-04,0.39,0.59924,0.19,0.26885
3.8111,9.15E-04,0.4,0.6079,0.2,0.27646
3.80184,9.18E-04,0.41,0.61823,0.21,0.28419
3.79259,6.90E-04,0.42,0.63261,0.22,0.29204
3.78338,4.62E-04,0.43,0.65983,0.23,0.3
3.77419,9.26E-04,0.44,0.66286,0.24,0.30808
3.76503,6.96E-04,0.45,0.67479,0.25,0.31627
3.7559,0,0.46,0.69252,0.26,0.32457
3.74679,4.67E-04,0.47,0.70743,0.27,0.33297
3.73771,4.68E-04,0.48,0.70444,0.28,0.34147
3.72866,4.70E-04,0.49,0.70902,0.29,0.35008
3.71963,2.36E-04,0.5,0.73604,0.3,0.35878
3.71063,4.73E-04,0.51,0.74008,0.31,0.36757
3.70166,0,0.52,0.75653,0.32,0.37645
3.69271,4.75E-04,0.53,0.74732,0.33,0.38541
3.68379,0,0.54,0.77037,0.34,0.39446
3.6749,2.39E-04,0.55,0.78947,0.35,0.40358
3.66603,2.40E-04,0.56,0.80475,0.36,0.41277
3.65719,9.62E-04,0.57,0.79866,0.37,0.42203
3.64837,2.41E-04,0.58,0.79729,0.38,0.43135
3.63958,2.42E-04,0.59,0.8094,0.39,0.44073
3.63081,9.70E-04,0.6,0.84138,0.4,0.45016
3.62207,4.87E-04,0.61,0.83025,0.41,0.45964
3.61336,0,0.62,0.82594,0.42,0.46916
3.60467,7.34E-04,0.63,0.83118,0.43,0.47872
3.59601,7.36E-04,0.64,0.85942,0.44,0.4883
3.58737,4.92E-04,0.65,0.85997,0.45,0.49791
3.57875,4.94E-04,0.66,0.86032,0.46,0.50754
3.57016,0,0.67,0.86812,0.47,0.51718
3.5616,0.00149,0.68,0.87857,0.48,0.52682
3.55306,4.98E-04,0.69,0.87594,0.49,0.53646
3.54455,7.49E-04,0.7,0.86385,0.5,0.5461
3.53606,7.51E-04,0.71,0.88355,0.51,0.55572
3.52759,0.001,0.72,0.88464,0.52,0.56532
3.51915,2.52E-04,0.73,0.88516,0.53,0.57489
3.51073,0.00152,0.74,0.90224,0.54,0.58443
3.50234,5.07E-04,0.75,0.9075,0.55,0.59392
3.49397,0.00152,0.76,0.92087,0.56,0.60337
3.48563,7.64E-04,0.77,0.90169,0.57,0.61276
3.47731,0.00102,0.78,0.90476,0.58,0.62208
3.46901,0.00103,0.79,0.91419,0.59,0.63133
3.46074,5.14E-04,0.8,0.9134,0.6,0.64051
