# eKEs,vp_T,vpp_T,vp_L,vpp_L,v2,v1-3,v3,v1-3+vL,2v1-3,electronic,elastic
1.000000000000000021e-02,0.000000000000000000e+00,3.247969068927239467e-01,2.006329719498002317e-01,8.496919805596144792e-01,2.066292724038734652e-02,1.100402164409647748e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.584891682228848252e-03,3.290105234280186162e-03
2.000000000000000042e-02,0.000000000000000000e+00,3.243777432935985305e-01,2.003352274575964098e-01,8.482640881062547544e-01,2.066564846346565301e-02,1.098926247704291176e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.577127926032186499e-03,3.287539982623323767e-03
2.999999999999999889e-02,0.000000000000000000e+00,3.239585995127817197e-01,2.000374849502226937e-01,8.468361599513478666e-01,2.066837871244197461e-02,1.097450383397899493e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.569363157585923766e-03,3.284975375829650261e-03
4.000000000000000083e-02,0.000000000000000000e+00,3.235394756490390100e-01,1.997397444375706432e-01,8.454081959169741367e-01,2.067111803229728859e-02,1.095974571751605342e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.561597371845467704e-03,3.282411417112870121e-03
5.000000000000000278e-02,0.000000000000000000e+00,3.231203718017932047e-01,1.994420059295975434e-01,8.439801958240286117e-01,2.067386646831194386e-02,1.094498813028279283e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.553830563732651261e-03,3.279848109708077396e-03
6.000000000000000472e-02,0.000000000000000000e+00,3.227012880711298548e-01,1.991442694363271537e-01,8.425521594922131818e-01,2.067662406606817285e-02,1.093023107492545054e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.546062728135453385e-03,3.277285456871934823e-03
6.999999999999999278e-02,0.000000000000000000e+00,3.222822245578029210e-01,1.988465349678499861e-01,8.411240867400245902e-01,2.067939087145258953e-02,1.091547455410791512e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.538293859907709768e-03,3.274723461882851194e-03
8.000000000000000167e-02,0.000000000000000000e+00,3.218631813632405470e-01,1.985488025343243590e-01,8.396959773847467723e-01,2.068216693065879144e-02,1.090071857051192888e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.530523953868840051e-03,3.272162128041169148e-03
8.999999999999999667e-02,0.000000000000000000e+00,3.214441585895502773e-01,1.982510721459764258e-01,8.382678312424387546e-01,2.068495229018985082e-02,1.088596312683716844e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.522753004803546424e-03,3.269601458669342542e-03
9.999999999999999167e-02,0.000000000000000000e+00,3.210251563395249419e-01,1.979533438131010070e-01,8.368396481279249954e-01,2.068774699686096868e-02,1.087120822580145002e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.514981007461529125e-03,3.267041457112122502e-03
1.100000000000000006e-01,0.000000000000000000e+00,3.206061747166484843e-01,1.976556175460621734e-01,8.354114278547849493e-01,2.069055109780208040e-02,1.085645387014085445e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.507207956557192842e-03,3.264482126736749108e-03
1.199999999999999956e-01,0.000000000000000000e+00,3.201872138251016797e-01,1.973578933552937453e-01,8.339831702353428522e-01,2.069336464046049248e-02,1.084170006260988806e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.499433846769345303e-03,3.261923470933136577e-03
1.300000000000000044e-01,0.000000000000000000e+00,3.197682737697680744e-01,1.970601712512999870e-01,8.325548750806570641e-01,2.069618767260358524e-02,1.082694680598163955e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.491658672740901508e-03,3.259365493114068420e-03
1.400000000000000133e-01,0.000000000000000000e+00,3.193493546562400920e-01,1.967624512446560503e-01,8.311265422005088555e-01,2.069902024232149473e-02,1.081219410304793266e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.483882429078579281e-03,3.256808196715384358e-03
1.500000000000000222e-01,0.000000000000000000e+00,3.189304565908248068e-01,1.964647333460088630e-01,8.296981714033927480e-01,2.070186239802986397e-02,1.079744195661949679e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.476105110352591360e-03,3.254251585196184585e-03
1.600000000000000033e-01,0.000000000000000000e+00,3.185115796805496613e-01,1.961670175660772397e-01,8.282697624965041916e-01,2.070471418847256301e-02,1.078269036952610310e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.468326711096336182e-03,3.251695662039016683e-03
1.700000000000000122e-01,0.000000000000000000e+00,3.180927240331694050e-01,1.958693039156530480e-01,8.268413152857293502e-01,2.070757566272451652e-02,1.076793934461674762e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.460547225806089533e-03,3.249140430750080757e-03
1.800000000000000211e-01,0.000000000000000000e+00,3.176738897571717013e-01,1.955715924056013744e-01,8.254128295756342215e-01,2.071044687019450367e-02,1.075318888475981366e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.452766648940681894e-03,3.246585894859431963e-03
1.900000000000000022e-01,0.000000000000000000e+00,3.172550769617834554e-01,1.952738830468615516e-01,8.239843051694524245e-01,2.071332786062799955e-02,1.073843899284322168e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.444984974921187056e-03,3.244032057921177829e-03
2.000000000000000111e-01,0.000000000000000000e+00,3.168362857569770319e-01,1.949761758504473808e-01,8.225557418690748746e-01,2.071621868411003750e-02,1.072368967177460830e-01,5.284839835999270334e-19,0.000000000000000000e+00,0.000000000000000000e+00,2.437202198130592520e-03,3.241478923513688160e-03
2.100000000000000200e-01,0.000000000000000000e+00,3.164168865435356137e-01,1.946780833932442722e-01,8.211255053306039109e-01,2.071907815746130976e-02,1.070891961236627860e-01,1.625025737840177594e-05,0.000000000000000000e+00,0.000000000000000000e+00,2.429413478070953109e-03,3.238920049376000851e-03
2.200000000000000011e-01,0.000000000000000000e+00,3.159975078609550958e-01,1.943799924917462285e-01,8.196952275352191730e-01,2.072194736011509150e-02,1.069415008859272986e-01,3.250501546684763906e-05,0.000000000000000000e+00,0.000000000000000000e+00,2.421623652280116123e-03,3.236361864956641566e-03
2.300000000000000100e-01,0.000000000000000000e+00,3.155781498141978503e-01,1.940819031539066930e-01,8.182649082719987144e-01,2.072482634181165018e-02,1.067938110319235634e-01,4.876429727485158833e-05,0.000000000000000000e+00,0.000000000000000000e+00,2.413832715105121256e-03,3.233804373781739780e-03
2.400000000000000189e-01,0.000000000000000000e+00,3.151588125089428982e-01,1.937838153877333436e-01,8.168345473285789637e-01,2.072771515263087741e-02,1.066461265892223870e-01,6.502812596903865486e-05,0.000000000000000000e+00,0.000000000000000000e+00,2.406040660854407136e-03,3.231247579401500328e-03
2.500000000000000000e-01,0.000000000000000000e+00,3.147394960515921269e-01,1.934857292012886754e-01,8.154041444911451775e-01,2.073061384299521720e-02,1.064984475855832863e-01,8.129652487449160966e-05,0.000000000000000000e+00,0.000000000000000000e+00,2.398247483797485632e-03,3.228691485390412438e-03
2.600000000000000089e-01,0.000000000000000000e+00,3.143202005492764517e-01,1.931876446026904171e-01,8.139736995444166734e-01,2.073352246367258719e-02,1.063507740489558484e-01,9.756951747610680592e-05,0.000000000000000000e+00,0.000000000000000000e+00,2.390453178164604012e-03,3.226136095347453998e-03
2.700000000000000178e-01,0.000000000000000000e+00,3.139009261098619774e-01,1.928895616001120306e-01,8.125432122716355066e-01,2.073644106577933119e-02,1.062031060074815902e-01,1.138471274199656880e-04,0.000000000000000000e+00,0.000000000000000000e+00,2.382657738146408844e-03,3.223581412896307959e-03
2.800000000000000266e-01,0.000000000000000000e+00,3.134816728419566600e-01,1.925914802017832106e-01,8.111126824545540348e-01,2.073936970078324449e-02,1.060554434894954989e-01,1.301293785147190939e-04,0.000000000000000000e+00,0.000000000000000000e+00,2.374861157893610325e-03,3.221027441685567465e-03
2.900000000000000355e-01,0.000000000000000000e+00,3.130624408549161353e-01,1.922934004159902455e-01,8.096821098734208189e-01,2.074230842050656456e-02,1.059077865235276278e-01,1.464162947329881396e-04,0.000000000000000000e+00,0.000000000000000000e+00,2.367063431516631001e-03,3.218474185388953569e-03
2.999999999999999889e-01,0.000000000000000000e+00,3.126432302588506573e-01,1.919953222510766278e-01,8.082514943069686320e-01,2.074525727712904499e-02,1.057601351383049282e-01,1.627079002127774219e-04,0.000000000000000000e+00,0.000000000000000000e+00,2.359264553085263592e-03,3.215921647705533362e-03
3.099999999999999978e-01,0.000000000000000000e+00,3.122240411646312608e-01,1.916972457154433873e-01,8.068208355324010261e-01,2.074821632319103631e-02,1.056124893627528039e-01,1.790042192589035908e-04,0.000000000000000000e+00,0.000000000000000000e+00,2.351464516628316674e-03,3.213369832359935525e-03
3.200000000000000067e-01,0.000000000000000000e+00,3.118048736838965884e-01,1.913991708175500350e-01,8.053901333253794537e-01,2.075118561159662589e-02,1.054648492259969705e-01,1.953052763444396015e-04,0.000000000000000000e+00,0.000000000000000000e+00,2.343663316133265569e-03,3.210818743102574532e-03
3.300000000000000155e-01,0.000000000000000000e+00,3.113857279290596081e-01,1.911010975659143685e-01,8.039593874600095003e-01,2.075416519561677081e-02,1.053172147573650935e-01,2.116110961121716921e-04,0.000000000000000000e+00,0.000000000000000000e+00,2.335860945545886747e-03,3.208268383709872267e-03
