# eKEs,vp_T,vpp_T,vp_L,vpp_L,v2,v1-3,v3,v1-3+vL,2v1-3,electronic,elastic
1.000000000000000021e-02,0.000000000000000000e+00,2.266379577196118988e-01,1.399983991502030678e-01,5.929011363041314375e-01,1.441825193186663592e-02,7.678425930774467056e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.803695045594296475e-03,4.591563005408478837e-01
2.000000000000000042e-02,0.000000000000000000e+00,2.262946646889608115e-01,1.397592592592592220e-01,5.917719120819848744e-01,1.441691387989931655e-02,7.666405969075872073e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.797873966199208277e-03,4.586953164329377608e-01
2.999999999999999889e-02,0.000000000000000000e+00,2.259513713736993612e-01,1.395201242338537095e-01,5.906427301439641786e-01,1.441557199336819528e-02,7.654386070204131920e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.792053459567732225e-03,4.582342880935055263e-01
4.000000000000000083e-02,0.000000000000000000e+00,2.256080777726023057e-01,1.392809940949318315e-01,5.895135906720958552e-01,1.441422625576608239e-02,7.642366234429703864e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.786233528165521870e-03,4.577732153321412700e-01
5.000000000000000278e-02,0.000000000000000000e+00,2.252647838844374917e-01,1.390418688635594313e-01,5.883844938494526833e-01,1.441287665049091789e-02,7.630346462024603649e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.780414174472406920e-03,4.573120979573412348e-01
6.000000000000000472e-02,0.000000000000000000e+00,2.249214897079653830e-01,1.388027485609233946e-01,5.872554398601609327e-01,1.441152316084506196e-02,7.618326753262409656e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.774595400982489956e-03,4.568509357764985457e-01
6.999999999999999278e-02,0.000000000000000000e+00,2.245781952419397820e-01,1.385636332083330091e-01,5.861264288894086905e-01,1.441016577003463583e-02,7.606307108418280949e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.768777210204250947e-03,4.563897285958968819e-01
8.000000000000000167e-02,0.000000000000000000e+00,2.242349004851067751e-01,1.383245228272203531e-01,5.849974611234527444e-01,1.440880446116878967e-02,7.594287527768962820e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.762959604660651550e-03,4.559284762207008179e-01
8.999999999999999667e-02,0.000000000000000000e+00,2.238916054362055652e-01,1.380854174391415723e-01,5.838685367496272427e-01,1.440743921725904514e-02,7.582268011592799284e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.757142586889240280e-03,4.554671784549493285e-01
9.999999999999999167e-02,0.000000000000000000e+00,2.235483100939678891e-01,1.378463170657774906e-01,5.827396559563503553e-01,1.440607002121855121e-02,7.570248560169748342e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.751326159442254853e-03,4.550058351015459635e-01
1.100000000000000006e-01,0.000000000000000000e+00,2.232050144571181838e-01,1.376072217289347199e-01,5.816108189331329337e-01,1.440469685586139546e-02,7.558229173781390309e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.745510324886733432e-03,4.545444459622521860e-01
1.199999999999999956e-01,0.000000000000000000e+00,2.228617185243734200e-01,1.373681314505464379e-01,5.804820258705861713e-01,1.440331970390186858e-02,7.546209852710938915e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.739695085804617621e-03,4.540830108376780472e-01
1.300000000000000044e-01,0.000000000000000000e+00,2.225184222944431578e-01,1.371290462526734144e-01,5.793532769604299304e-01,1.440193854795375657e-02,7.534190597243259346e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.733880444792863492e-03,4.536215295272744141e-01
1.400000000000000133e-01,0.000000000000000000e+00,2.221751257660294632e-01,1.368899661575047888e-01,5.782245723954998473e-01,1.440055337052958961e-02,7.522171407664868248e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.728066404463550866e-03,4.531600018293240328e-01
