# eKEs,vp_T,vpp_T,vp_L,vpp_L,v2,v1-3,v3,v1-3+vL,2v1-3,electronic,elastic
1.000000000000000021e-02,0.000000000000000000e+00,2.934969428951313963e-01,1.812984134441895934e-01,7.678090320580662764e-01,1.867168636036686466e-02,9.943588265638510226e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.335791352532168210e-03,1.486522512333285917e-01
2.000000000000000042e-02,0.000000000000000000e+00,2.930971895967049434e-01,1.810164025091326734e-01,7.664638693620922094e-01,1.867280851125762212e-02,9.929540525986406407e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.328609061403891234e-03,1.485257156995444527e-01
2.999999999999999889e-02,0.000000000000000000e+00,2.926974419401314198e-01,1.807343908299542390e-01,7.651186853287528233e-01,1.867393422270597139e-02,9.915492916683878166e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.321426332783448065e-03,1.483991921788334056e-01
4.000000000000000083e-02,0.000000000000000000e+00,2.922976999523054231e-01,1.804523784031069333e-01,7.637734798563320382e-01,1.867506351168517903e-02,9.901445438352297901e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.314243164585299932e-03,1.482726807284620030e-01
5.000000000000000278e-02,0.000000000000000000e+00,2.918979636602933025e-01,1.801703652250210286e-01,7.624282528424670691e-01,1.867619639527657444e-02,9.887398091617008444e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.307059554710634824e-03,1.481461814060615056e-01
6.000000000000000472e-02,0.000000000000000000e+00,2.914982330913333808e-01,1.798883512921038152e-01,7.610830041841412097e-01,1.867733289067038949e-02,9.873350877107328616e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.299875501047255605e-03,1.480196942696305473e-01
6.999999999999999278e-02,0.000000000000000000e+00,2.910985082728386186e-01,1.796063366007398521e-01,7.597377337776810569e-01,1.867847301516666753e-02,9.859303795456600406e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.292691001469476797e-03,1.478932193775382431e-01
8.000000000000000167e-02,0.000000000000000000e+00,2.906987892323968925e-01,1.793243211472904386e-01,7.583924415187491830e-01,1.867961678617609256e-02,9.845256847302223668e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.285506053838015725e-03,1.477667567885270761e-01
8.999999999999999667e-02,0.000000000000000000e+00,2.902990759977728263e-01,1.790423049280936429e-01,7.570471273023402503e-01,1.868076422122090172e-02,9.831210033285665839e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.278320655999882365e-03,1.476403065617158672e-01
9.999999999999999167e-02,0.000000000000000000e+00,2.898993685969092904e-01,1.787602879394638855e-01,7.557017910227745716e-01,1.868191533793577691e-02,9.817163354052525770e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.271134805788270483e-03,1.475138687566026896e-01
1.100000000000000006e-01,0.000000000000000000e+00,2.894996670579290665e-01,1.784782701776921332e-01,7.543564325736938914e-01,1.868307015406876076e-02,9.803116810252550384e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.263948501022449659e-03,1.473874434330683381e-01
1.199999999999999956e-01,0.000000000000000000e+00,2.890999714091353479e-01,1.781962516390452611e-01,7.530110518480542803e-01,1.868422868748213436e-02,9.789070402539658267e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.256761739507645581e-03,1.472610306513787715e-01
1.300000000000000044e-01,0.000000000000000000e+00,2.887002816790142923e-01,1.779142323197661357e-01,7.516656487381223606e-01,1.868539095615336446e-02,9.775024131571995178e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.249574519034934234e-03,1.471346304721888321e-01
1.400000000000000133e-01,0.000000000000000000e+00,2.883005978962360771e-01,1.776322122160734762e-01,7.503202231354687557e-01,1.868655697817604711e-02,9.760977998011959034e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.242386837381125670e-03,1.470082429565449655e-01
1.500000000000000222e-01,0.000000000000000000e+00,2.879009200896561205e-01,1.773501913241612993e-01,7.489747749309622060e-01,1.868772677176080282e-02,9.746932002526223493e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.235198692308644746e-03,1.468818681658885794e-01
1.600000000000000033e-01,0.000000000000000000e+00,2.875012482883169684e-01,1.770681696401992244e-01,7.476293040147651281e-01,1.868890035523626536e-02,9.732886145785787924e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.228010081565420537e-03,1.467555061620592072e-01
