# eKEs,vp_T,vpp_T,vp_L,vpp_L,v2,v1-3,v3,v1-3+vL,2v1-3,electronic,elastic
1.000000000000000021e-02,0.000000000000000000e+00,1.023223790996686672e-01,6.320639938397314139e-02,2.676826752586197178e-01,6.509544363050547879e-03,3.466651468636330891e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.143312360051468014e-04,1.036498155972319202e+00
2.000000000000000042e-02,0.000000000000000000e+00,1.021383530796072248e-01,6.308049987827636651e-02,2.670969224214881921e-01,6.507090400064918789e-03,3.460241012740403882e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.114724498904483940e-04,1.035163251643268501e+00
2.999999999999999889e-02,0.000000000000000000e+00,1.019543484883874557e-01,6.295462285004382874e-02,2.665113045126652480e-01,6.504630805008581457e-03,3.453831415679066430e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.086148883089098625e-04,1.033828164298795205e+00
4.000000000000000083e-02,0.000000000000000000e+00,1.017703653998657948e-01,6.282876837674615522e-02,2.659258219971938342e-01,6.502165558470078197e-03,3.447422680412370877e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.057585554809977395e-04,1.032492893308119219e+00
5.000000000000000278e-02,0.000000000000000000e+00,1.015864038882385995e-01,6.270293653621047958e-02,2.653404753422565765e-01,6.499694640948648627e-03,3.441014809913989919e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.029034556465975943e-04,1.031157438037559215e+00
6.000000000000000472e-02,0.000000000000000000e+00,1.014024640280438427e-01,6.257712740662235706e-02,2.647552650171876576e-01,6.497218032853706651e-03,3.434607807171292937e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.000495930651229954e-04,1.029821797850513976e+00
6.999999999999999278e-02,0.000000000000000000e+00,1.012185458941633753e-01,6.245134106652790174e-02,2.641701914934859174e-01,6.494735714504330445e-03,3.428201675185423014e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.971969720156294598e-04,1.028485972107448410e+00
8.000000000000000167e-02,0.000000000000000000e+00,1.010346495618246326e-01,6.232557759483586812e-02,2.635852552448266772e-01,6.492247666128736841e-03,3.421796416971381594e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.943455967969277522e-04,1.027149960165873344e+00
8.999999999999999667e-02,0.000000000000000000e+00,1.008507751066027164e-01,6.219983707081964269e-02,2.630004567470745624e-01,6.489753867863753099e-03,3.415392035558099948e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.914954717276968593e-04,1.025813761380330646e+00
9.999999999999999167e-02,0.000000000000000000e+00,1.006669226044226151e-01,6.207411957411956838e-02,2.624157964782964925e-01,6.487254299754299965e-03,3.408988533988534242e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.886466011466009745e-04,1.024477375102375021e+00
