# eKEs,vp_T,vpp_T,vp_L,vpp_L,v2,v1-3,v3,v1-3+vL,2v1-3,electronic,elastic
1.000000000000000021e-02,0.000000000000000000e+00,3.557153079204091739e-01,2.197318320512269829e-01,9.305767329923934073e-01,2.262989385018695024e-02,1.205152778374661976e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.830955348317504196e-03,5.999999999999998668e-01
2.000000000000000042e-02,0.000000000000000000e+00,3.548121357827239142e-01,2.191314644618231056e-01,9.278515528001224366e-01,2.260458067870748516e-02,1.202031819620680425e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.818924178756462319e-03,5.967707846448804254e-01
2.999999999999999889e-02,0.000000000000000000e+00,3.539087548355405732e-01,2.185310633075918663e-01,9.251266407770339928e-01,2.257918198680548827e-02,1.198910290593514921e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.806902231300917230e-03,5.935418480129744934e-01
4.000000000000000083e-02,0.000000000000000000e+00,3.530051409663025885e-01,2.179306141864525426e-01,9.224019380480980024e-01,2.255369586751031219e-02,1.195788110308782098e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.794889370248336384e-03,5.903134688274953579e-01
5.000000000000000278e-02,0.000000000000000000e+00,3.521012700343890134e-01,2.173301026934128244e-01,9.196773857879786407e-01,2.252812040114645503e-02,1.192665197707753338e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.782885461318090631e-03,5.870859258116565282e-01
6.000000000000000472e-02,0.000000000000000000e+00,3.511971178708804819e-01,2.167295144205443058e-01,9.169529252214480008e-01,2.250245365522753060e-02,1.189541471656733740e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.770890371663311483e-03,5.838594976886712917e-01
6.999999999999999278e-02,0.000000000000000000e+00,3.502926602783225651e-01,2.161288349569580047e-01,9.142284976238044258e-01,2.247669368434922210e-02,1.186416850946433454e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.758903969882865043e-03,5.806344631817533797e-01
8.000000000000000167e-02,0.000000000000000000e+00,3.493878730304874058e-01,2.155280498887795770e-01,9.115040443212969468e-01,2.245083853008121230e-02,1.183291254291339301e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.746926126033465577e-03,5.774111010141159683e-01
8.999999999999999667e-02,0.000000000000000000e+00,3.484827318721321898e-01,2.149271447991245310e-01,9.087795066915520525e-01,2.242488622085792721e-02,1.180164600329071806e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.734956711641887538e-03,5.741896899089725670e-01
9.999999999999999167e-02,0.000000000000000000e+00,3.475772125187552852e-01,2.143261052680724699e-01,9.060548261640031242e-01,2.239883477186822847e-02,1.177036807619742248e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.722995599717313760e-03,5.709705085895365739e-01
