# eKEs,vp_T,vpp_T,vp_L,vpp_L,v2,v1-3,v3,v1-3+vL,2v1-3,electronic,elastic
1.000000000000000021e-02,0.000000000000000000e+00,3.189147144756144248e-01,1.969994344339548453e-01,8.343037437295842684e-01,2.028871396634026464e-02,1.080473473187846256e-01,-3.023416198905601857e-04,-2.100478622397578595e-03,-8.067747436027068730e-03,2.538078335397076033e-03,3.230520208530642673e-02
2.000000000000000042e-02,0.000000000000000000e+00,3.184955705927828284e-01,1.967024060623991655e-01,8.328819111064451608e-01,2.029090353799021043e-02,1.078998635196655870e-01,-2.864598146539786374e-04,-2.052962005020184111e-03,-8.020874810311421146e-03,2.530395029443484062e-03,3.227924678125924929e-02
2.999999999999999889e-02,0.000000000000000000e+00,3.180764373404482148e-01,1.964053760054607356e-01,8.314600358610428898e-01,2.029310003297913126e-02,1.077523821358970374e-01,-2.705746671063879137e-04,-2.005435767964994405e-03,-7.973994601194149892e-03,2.522710866844856802e-03,3.225329612692593578e-02
4.000000000000000083e-02,0.000000000000000000e+00,3.176573147691103549e-01,1.961083442551332101e-01,8.300381177909027519e-01,2.029530348419601379e-02,1.076049031789529931e-01,-2.546861613703022193e-04,-1.957899865534201526e-03,-7.927106772650675814e-03,2.515025843531740711e-03,3.222735014439470635e-02
5.000000000000000278e-02,0.000000000000000000e+00,3.172382029295892636e-01,1.958113108033595340e-01,8.286161566922654043e-01,2.029751392473849031e-02,1.074574266603802314e-01,-2.387942814675107208e-04,-1.910354251740090971e-03,-7.880211288427882085e-03,2.507339955408871730e-03,3.220140885589394680e-02
6.000000000000000472e-02,0.000000000000000000e+00,3.168191018730276975e-01,1.955142756420312211e-01,8.271941523600759849e-01,2.029973138791448320e-02,1.073099525917989294e-01,-2.228990113182760502e-04,-1.862798880302738401e-03,-7.833308112042292742e-03,2.499653198354959745e-03,3.217547228379324248e-02
6.999999999999999278e-02,0.000000000000000000e+00,3.164000116508943750e-01,1.952172387629885486e-01,8.257721045879761190e-01,2.030195590724391888e-02,1.071624809849031912e-01,-2.070003347405253817e-04,-1.815233704647689020e-03,-7.786397206778253831e-03,2.491965568222488225e-03,3.214954045060457177e-02
8.000000000000000167e-02,0.000000000000000000e+00,3.159809323149855298e-01,1.949202001580194743e-01,8.243500131682907073e-01,2.030418751646036538e-02,1.070150118514616999e-01,-1.910982354490381745e-04,-1.767658677903605506e-03,-7.739478535686065974e-03,2.484277060837503017e-03,3.212361337898340941e-02
8.999999999999999667e-02,0.000000000000000000e+00,3.155618639174285756e-01,1.946231598188596923e-01,8.229278778920195991e-01,2.030642624951277744e-02,1.068675452033182177e-01,-1.751926970546192788e-04,-1.720073752899902927e-03,-7.692552061580130822e-03,2.476587671999401150e-03,3.209769109172986440e-02
9.999999999999999167e-02,0.000000000000000000e+00,3.151428065106838261e-01,1.943261177371919113e-01,8.215056985488256025e-01,2.030867214056718967e-02,1.067200810523922794e-01,-1.592837030632710937e-04,-1.672478882164354832e-03,-7.645617747037057599e-03,2.468897397480716589e-03,3.207177361178983888e-02
1.100000000000000006e-01,0.000000000000000000e+00,3.147237601475479374e-01,1.940290739046456880e-01,8.200834749270246027e-01,2.031092522400848241e-02,1.065726194106797892e-01,-1.433712368753533098e-04,-1.624874017920676338e-03,-7.598675554393759246e-03,2.461206233026909471e-03,3.204586096225620767e-02
1.199999999999999956e-01,0.000000000000000000e+00,3.143047248811561278e-01,1.937320283127969278e-01,8.186612068135747933e-01,2.031318553444211306e-02,1.064251602902535898e-01,-1.274552817847344674e-04,-1.577259112086092487e-03,-7.551725445745537287e-03,2.453514174356145362e-03,3.201995316637001182e-02
