# eKEs,vp_T,vpp_T,vp_L,vpp_L,v2,v1-3,v3,v1-3+vL,2v1-3,electronic,elastic
1.000000000000000021e-02,0.000000000000000000e+00,1.019551126312903538e-01,6.297953218947555110e-02,2.667218798622135179e-01,6.486179607559075001e-03,3.454208591005970136e-02,-9.665679415186052847e-05,-6.715103593708212412e-04,-2.579210243947019452e-03,8.114083509064096231e-04,1.032777845512631965e+00
2.000000000000000042e-02,0.000000000000000000e+00,1.017750172313885704e-01,6.285610418128029231e-02,2.661467809326298339e-01,6.483942785690323049e-03,3.447931928390618461e-02,-9.153801579798076559e-05,-6.560224465521967245e-04,-2.563064442343468158e-03,8.085858062154987775e-04,1.031480874683582849e+00
2.999999999999999889e-02,0.000000000000000000e+00,1.015949428535565247e-01,6.273269758126984175e-02,2.655718088853757375e-01,6.481700925131205111e-03,3.441656099069667629e-02,-8.642267900174922910e-05,-6.405445620129655154e-04,-2.546927187051555280e-03,8.057643895163105283e-04,1.030183752135853226e+00
4.000000000000000083e-02,0.000000000000000000e+00,1.014148895689060970e-01,6.260931246186224319e-02,2.649969641496596195e-01,6.479454008837205216e-03,3.435381105861922552e-02,-8.131079540501567535e-05,-6.250767396760591350e-04,-2.530798506981119314e-03,8.029441046245320082e-04,1.028886477356220075e+00
5.000000000000000278e-02,0.000000000000000000e+00,1.012348574488703135e-01,6.248594889580250805e-02,2.644222471566277100e-01,6.477202019686847251e-03,3.429106951598918235e-02,-7.620237670219789092e-05,-6.096190136175848621e-04,-2.514678431172539738e-03,8.001249553730808159e-04,1.027589049829142676e+00
6.000000000000000472e-02,0.000000000000000000e+00,1.010548465652051225e-01,6.236260695616456518e-02,2.638476583393754016e-01,6.474944940481256947e-03,3.422833639124994026e-02,-7.109743464057830323e-05,-5.941714180676910349e-04,-2.498566988797472528e-03,7.973069456122018357e-04,1.026291469036750614e+00
6.999999999999999278e-02,0.000000000000000000e+00,1.008748569899911712e-01,6.223928671635296089e-02,2.632731981329579640e-01,6.472682753943722993e-03,3.416561171297352595e-02,-6.599598102060239360e-05,-5.787339874114378821e-04,-2.482464209159591321e-03,7.944900792095626468e-04,1.024993734458829131e+00
8.000000000000000167e-02,0.000000000000000000e+00,1.006948887956357896e-01,6.211598825010491987e-02,2.626988669744020344e-01,6.470415442719263353e-03,3.410289550986152912e-02,-6.089802769618112872e-05,-5.633067561896761607e-04,-2.466370121695341585e-03,7.916743600503568486e-04,1.023695845572807350e+00
8.999999999999999667e-02,0.000000000000000000e+00,1.005149420548745315e-01,6.199271163149198960e-02,2.621246653027161644e-01,6.468142989374165569e-03,3.404018781074560906e-02,-5.580358657499255858e-05,-5.478897590999283950e-04,-2.450284755974683083e-03,7.888597920373981685e-04,1.022397801853743182e+00
9.999999999999999167e-02,0.000000000000000000e+00,1.003350168407734916e-01,6.186945693492222620e-02,2.615505935589028108e-01,6.465865376395561748e-03,3.397748864458843832e-02,-5.071266961878840847e-05,-5.324830309972809587e-04,-2.434208141701857918e-03,7.860463790912249797e-04,1.021099602774310888e+00
1.100000000000000006e-01,0.000000000000000000e+00,1.001551132267307631e-01,6.174622423514187358e-02,2.609766521859691046e-01,6.463582586190960190e-03,3.391479804048433411e-02,-4.562528884370068463e-05,-5.170866068952761560e-04,-2.418140308716146877e-03,7.832341251501986380e-04,1.019801247804787758e+00
1.199999999999999956e-01,0.000000000000000000e+00,9.997523128647857471e-02,6.162301360723738963e-02,2.604028416289385639e-01,6.461294601087803034e-03,3.385211602766001471e-02,-4.054145632055080060e-05,-5.017005219668172053e-04,-2.402081286992641378e-03,7.804230341706050716e-04,1.018502736413040566e+00
1.300000000000000044e-01,0.000000000000000000e+00,9.979537109408506690e-02,6.149982512663735440e-02,2.598291623348624180e-01,6.459001403333001351e-03,3.378944263547539045e-02,-3.546118417516139378e-05,-4.863248115450723554e-04,-2.386031106643013693e-03,7.776131101267572381e-04,1.017204068064509803e+00
1.400000000000000133e-01,0.000000000000000000e+00,9.961553272395635983e-02,6.137665886911447544e-02,2.592556147528313204e-01,6.456702975092489319e-03,3.372677789342429233e-02,-3.038448458867044923e-05,-4.709595111243928796e-04,-2.369989797916301471e-03,7.748043570110986662e-04,1.015905242222199245e+00
1.500000000000000222e-01,0.000000000000000000e+00,9.943571625083824639e-02,6.125351491078744742e-02,2.586821993339866732e-01,6.454399298450745441e-03,3.366412183113525608e-02,-2.531136979784573873e-05,-4.556046563612282507e-04,-2.353957391199682728e-03,7.719967788343047197e-04,1.014606258346659295e+00
1.600000000000000033e-01,0.000000000000000000e+00,9.925592174981838489e-02,6.113039332812306159e-02,2.581089165315328948e-01,6.452090355410341517e-03,3.360147447837228546e-02,-2.024185209540476876e-05,-4.402602830750580666e-04,-2.337933917019275991e-03,7.691903796253895002e-04,1.013307115895974109e+00
1.700000000000000122e-01,0.000000000000000000e+00,9.907614929632810319e-02,6.100729419793810004e-02,2.575357668007486334e-01,6.449776127891466461e-03,3.353883586503562247e-02,-1.517594383033273636e-05,-4.249264272493195860e-04,-2.321919406040927423e-03,7.663851634318094965e-04,1.012007814325746935e+00
1.800000000000000211e-01,0.000000000000000000e+00,9.889639896614432768e-02,6.088421759740130640e-02,2.569627505989989791e-01,6.447456597731451855e-03,3.347620602116251759e-02,-1.011365740820600595e-05,-4.096031250323504957e-04,-2.305913889071012704e-03,7.635811343195678851e-04,1.010708353089086575e+00
1.900000000000000022e-01,0.000000000000000000e+00,9.871667083539178988e-02,6.076116360403558542e-02,2.563898683857475103e-01,6.445131746684308778e-03,3.341358497692806240e-02,-5.055005291517008282e-06,-3.942904127383335222e-04,-2.289917397057247579e-03,7.607782963733241430e-04,1.009408731636593171e+00
2.000000000000000111e-01,0.000000000000000000e+00,9.853696498054474728e-02,6.063813229571983487e-02,2.558171206225680616e-01,6.442801556420233410e-03,3.335097276264591820e-02,1.643599869262072030e-19,-3.789883268482483608e-04,-2.273929961089493634e-03,7.579766536964980227e-04,1.008108949416342437e+00
2.100000000000000200e-01,0.000000000000000000e+00,9.835728147842918989e-02,6.051512375069108274e-02,2.552445077731569922e-01,6.440466008525137787e-03,3.328836940876914174e-02,5.051345889039555746e-06,-3.636969040108309239e-04,-2.257951612400577093e-03,7.551762104113787311e-04,1.006809005873872787e+00
2.200000000000000011e-01,0.000000000000000000e+00,9.817762040622476927e-02,6.039213804754656884e-02,2.546720303033454536e-01,6.438125084500158010e-03,3.322577494589101094e-02,1.009901974039253903e-05,-3.484161810435375218e-04,-2.241982382367113235e-03,7.523769706592340007e-04,1.005508900452169563e+00
2.300000000000000100e-01,0.000000000000000000e+00,9.799798184146686630e-02,6.026917526524577101e-02,2.540996886811116018e-01,6.435778765761170257e-03,3.316318940474579507e-02,1.514300886061472152e-05,-3.331461949335189640e-04,-2.226022302510333867e-03,7.495789386004186178e-04,1.004208632591651718e+00
2.400000000000000189e-01,0.000000000000000000e+00,9.781836586204861739e-02,6.014623548311251455e-02,2.535274833765929769e-01,6.433427033638293782e-03,3.310061281620957363e-02,2.018330049768895368e-05,-3.178869828385975883e-04,-2.210071404496919117e-03,7.467821184144841440e-04,1.002908201730154714e+00
2.500000000000000000e-01,0.000000000000000000e+00,9.763877254622302382e-02,6.002331878083707467e-02,2.529554148620991039e-01,6.431069869375401725e-03,3.303804521130108973e-02,2.521988184068802360e-05,-3.026385820882536676e-04,-2.194129720139842248e-03,7.439865143002914565e-04,1.001607607302917868e+00
2.600000000000000089e-01,0.000000000000000000e+00,9.745920197260506124e-02,5.990042523847833450e-02,2.523834836121239822e-01,6.428707254129619776e-03,3.297548662118252039e-02,3.025274001943366526e-05,-2.874010301846177261e-04,-2.178197281399211864e-03,7.411921304761207941e-04,1.000306848742568810e+00
2.700000000000000178e-01,0.000000000000000000e+00,9.727965422017358088e-02,5.977755493646581819e-02,2.518116901033585209e-01,6.426339168970819637e-03,3.291293707716035771e-02,3.528186210415374736e-05,-2.721743648034694149e-04,-2.162274120383122361e-03,7.383989711797841896e-04,9.990059254791070487e-01
2.800000000000000266e-01,0.000000000000000000e+00,9.710012936827373820e-02,5.965470795560195300e-02,2.512400348147036389e-01,6.423965594881122891e-03,3.285039661068621386e-02,4.030723510513667201e-05,-2.569586237952442478e-04,-2.146360269348515648e-03,7.356070406687402865e-04,9.977048369398902050e-01
2.900000000000000355e-01,0.000000000000000000e+00,9.692062749661874144e-02,5.953188437706411623e-02,2.506685182272826995e-01,6.421586512754378848e-03,3.278786525335765367e-02,4.532884597238404718e-05,-2.417538451860465169e-04,-2.130455760702040270e-03,7.328163432202054696e-04,9.964035825496178056e-01
2.999999999999999889e-01,0.000000000000000000e+00,9.674114868529243294e-02,5.940908428240699451e-02,2.500971408244548333e-01,6.419201903395671885e-03,3.272534303691911062e-02,5.034668159526035729e-05,-2.265600671786700425e-04,-2.114560627000926576e-03,7.300268831312723685e-04,9.951021617303172917e-01
3.099999999999999978e-01,0.000000000000000000e+00,9.656169301475096833e-02,5.928630775356454052e-02,2.495259030918276777e-01,6.416811747520781949e-03,3.266282999326264314e-02,5.536072880214024507e-05,-2.113773281536249660e-04,-2.098674900953854949e-03,7.272386647190217475e-04,9.938005739013263673e-01
3.200000000000000067e-01,0.000000000000000000e+00,9.638226056582531454e-02,5.916355487285236692e-02,2.489548055172703389e-01,6.414416025755678014e-03,3.260032615442885751e-02,6.037097436005367935e-05,-1.962056666701732178e-04,-2.082798615421843115e-03,7.244516923206412249e-04,9.924988184792784551e-01
3.300000000000000155e-01,0.000000000000000000e+00,9.620285141972341469e-02,5.904082572296989739e-02,2.483838485909270477e-01,6.412014718635999401e-03,3.253783155260777521e-02,6.537740497432805993e-05,-1.810451214673688904e-04,-2.066931803419133455e-03,7.216659702935417173e-04,9.911968948780879307e-01
3.400000000000000244e-01,0.000000000000000000e+00,9.602346565803214495e-02,5.891812038700258713e-02,2.478130328052297882e-01,6.409607806606511943e-03,3.247534622013965866e-02,7.038000728822857411e-05,-1.658957314651091552e-04,-2.051074498114082920e-03,7.188815030154752919e-04,9.898948025089318037e-01
3.500000000000000333e-01,0.000000000000000000e+00,9.584410336271972919e-02,5.879543894842419877e-02,2.472423586549120367e-01,6.407195270020587564e-03,3.241287018951591326e-02,7.537876788259534138e-05,-1.507575357651897070e-04,-2.035226732830068119e-03,7.160982948846537780e-04,9.885925407802351739e-01
3.600000000000000422e-01,0.000000000000000000e+00,9.566476461613809823e-02,5.867278149109916852e-02,2.466718266370226953e-01,6.404777089139679531e-03,3.235040349338003107e-02,8.037367327547851161e-05,-1.356305736523690430e-04,-2.019388541046392583e-03,7.133163503198700897e-04,9.872901090976569094e-01
3.699999999999999956e-01,0.000000000000000000e+00,9.548544950102476336e-02,5.855014809928471564e-02,2.461014372509386094e-01,6.402353244132763868e-03,3.228794616452836802e-02,8.536470992177025972e-05,-1.205148845954399131e-04,-2.003559956399194025e-03,7.105356737606165120e-04,9.859875068640697737e-01
3.800000000000000044e-01,0.000000000000000000e+00,9.530615810050541148e-02,5.842753885763325716e-02,2.455311909983789176e-01,6.399923715075808532e-03,3.222549823591113610e-02,9.035186421283518117e-05,-1.054105082483067311e-04,-1.987741012682368077e-03,7.077562696672069992e-04,9.846847334795462148e-01
3.900000000000000133e-01,0.000000000000000000e+00,9.512689049809595898e-02,5.830495385119470464e-02,2.449610883834187625e-01,6.397488481951227844e-03,3.216305974063322914e-02,9.533512247613607957e-05,-9.031748445107572740e-05,-1.971931743848495504e-03,7.049781425208999060e-04,9.833817883413421557e-01
4.000000000000000222e-01,0.000000000000000000e+00,9.494764677770499428e-02,5.818239316541879563e-02,2.443911299125026693e-01,6.395047524647325642e-03,3.210063071195520118e-02,1.003144709748602151e-04,-7.523585323114421943e-05,-1.956132184009769411e-03,7.022012968240199608e-04,9.820786708438794532e-01
4.100000000000000311e-01,0.000000000000000000e+00,9.476842702363610926e-02,5.805985688615749457e-02,2.438213160944593394e-01,6.392600822957756647e-03,3.203821118329416850e-02,1.052898959075396305e-04,-6.016565480430779880e-05,-1.940342367438941968e-03,6.994257371000838159e-04,9.807753803787305769e-01
4.200000000000000400e-01,0.000000000000000000e+00,9.458923132059003647e-02,5.793734509966727564e-02,2.432516474405148343e-01,6.390148356580950539e-03,3.197580118822467704e-02,1.102613834076715581e-04,-4.510692957586467271e-05,-1.924562328570261814e-03,6.966514678939231047e-04,9.794719163346000679e-01
4.299999999999999933e-01,0.000000000000000000e+00,9.441005975366711933e-02,5.781485789261154445e-02,2.426821244643070363e-01,6.387690105119560313e-03,3.191340076047968766e-02,1.152289195433334065e-04,-3.005971814173886007e-05,-1.908792102000433141e-03,6.938784937718110767e-04,9.781682780973088853e-01
4.400000000000000022e-01,0.000000000000000000e+00,9.423091240836971305e-02,5.769239535206307362e-02,2.421127476819001090e-01,6.385226048079898492e-03,3.185100993395149210e-02,1.201924903167982209e-04,-1.502406128959947268e-05,-1.893031722489569354e-03,6.911068193215889064e-04,9.768644650497765314e-01
4.500000000000000111e-01,0.000000000000000000e+00,9.405178937060448829e-02,5.756995756550638971e-02,2.415435176117985694e-01,6.382756164871362069e-03,3.178862874269266364e-02,1.251520816641444787e-04,3.256563811952365398e-19,-1.877281224962164740e-03,6.883364491527937381e-04,9.755604765720051752e-01
4.600000000000000200e-01,0.000000000000000000e+00,9.387269072668479042e-02,5.744754462084020186e-02,2.409744347749616378e-01,6.380280434805859179e-03,3.172625722091697992e-02,1.301076794548647060e-04,1.501242455248473891e-05,-1.861540644508062007e-03,6.855673878967862966e-04,9.742563120410608901e-01
4.700000000000000289e-01,0.000000000000000000e+00,9.369361656333322075e-02,5.732515660637989285e-02,2.404054996948182810e-01,6.377798837097240110e-03,3.166389540300041522e-02,1.350592694914710859e-04,3.001317099810506183e-05,-1.845810016383436086e-03,6.827996402068809909e-04,9.729519708310577775e-01
4.800000000000000377e-01,0.000000000000000000e+00,9.351456696768385701e-02,5.720279361085996855e-02,2.398367128972813123e-01,6.375311350860704898e-03,3.160154332348208417e-02,1.400068375090980166e-04,4.500219777078188869e-05,-1.830089376011778375e-03,6.800332107584750431e-04,9.716474523131389818e-01
4.899999999999999911e-01,0.000000000000000000e+00,9.333554202728473748e-02,5.708045572343650731e-02,2.392680749107622962e-01,6.372817955112219587e-03,3.153920101706517848e-02,1.449503691751016213e-04,5.997946310693901689e-05,-1.814378758984890299e-03,6.772681042491808696e-04,9.703427558554593713e-01
5.000000000000000000e-01,0.000000000000000000e+00,9.315654183010048384e-02,5.695814303368973430e-02,2.386995862661866474e-01,6.370318628767932499e-03,3.147686851861802165e-02,1.498898500886573727e-04,7.494492504432913359e-05,-1.798678201063886196e-03,6.745043253989574860e-04,9.690378808231688845e-01
5.100000000000000089e-01,0.000000000000000000e+00,9.297756646451459106e-02,5.683585563162656812e-02,2.381312474970082860e-01,6.367813350643574885e-03,3.141454586317497105e-02,1.548252657803537080e-04,8.989854142085102232e-05,-1.782987738180200109e-03,6.717418789502436474e-04,9.677328265783938788e-01
5.200000000000000178e-01,0.000000000000000000e+00,9.279861601933207804e-02,5.671359360768302160e-02,2.375630591392250690e-01,6.365302099453861578e-03,3.135223308593745178e-02,1.597566017117833922e-04,1.048402698733583128e-04,-1.767307406436601034e-03,6.689807696680920724e-04,9.664275924802183670e-01
5.300000000000000266e-01,0.000000000000000000e+00,9.261969058378179132e-02,5.659135705272692191e-02,2.369950217313934737e-01,6.362784853811890781e-03,3.128993022227494897e-02,1.646838432751314679e-04,1.197700678364597569e-04,-1.751637242108214018e-03,6.662210023403037761e-04,9.651221778846670318e-01
5.400000000000000355e-01,0.000000000000000000e+00,9.244079024751922224e-02,5.646914605806040155e-02,2.364271358146442514e-01,6.360261592228536043e-03,3.122763730772598958e-02,1.696069757927611162e-04,1.346878925413105333e-04,-1.735977281643552974e-03,6.634625817775647878e-04,9.638165821446867954e-01
5.500000000000000444e-01,0.000000000000000000e+00,9.226191510062882462e-02,5.634696071542253520e-02,2.358594019326978597e-01,6.357732293111835638e-03,3.116535437799919719e-02,1.745259845167956435e-04,1.495937010143965175e-04,-1.720327561665555222e-03,6.607055128135827602e-04,9.625108046101271686e-01
