# eKEs,vp_T,vpp_T,vp_L,vpp_L,v2,v1-3,v3,v1-3+vL,2v1-3,electronic,elastic
1.000000000000000021e-02,0.000000000000000000e+00,2.264372151013749890e-01,1.398743967744441319e-01,5.923759792313494366e-01,1.440548108945204422e-02,7.671624831167009329e-02,-2.146699142741868903e-04,-1.491390983378563248e-03,-5.728297186158575784e-03,1.802097438249098587e-03,4.587496068039382813e-01
2.000000000000000042e-02,0.000000000000000000e+00,2.260959624201088758e-01,1.396365410239616689e-01,5.912522956706339761e-01,1.440425483863682667e-02,7.659674337722172099e-02,-2.033541859572251956e-04,-1.457371666026783478e-03,-5.693917206802320656e-03,1.796295309288827241e-03,4.582925504189345189e-01
2.999999999999999889e-02,0.000000000000000000e+00,2.257547112390974886e-01,1.393986908199085495e-01,5.901286554645074345e-01,1.440302518601162263e-02,7.647723961513622215e-02,-1.920403358134879497e-04,-1.423357783088205920e-03,-5.659541661326918278e-03,1.790493719202229227e-03,4.578354570696980819e-01
4.000000000000000083e-02,0.000000000000000000e+00,2.254134615645925210e-01,1.391608461853968137e-01,5.890050587936296322e-01,1.440179211740105422e-02,7.635773703029892501e-02,-1.807283716693460244e-04,-1.389349357208100131e-03,-5.625170568208409660e-03,1.784692670234796965e-03,4.573783266021987925e-01
5.000000000000000278e-02,0.000000000000000000e+00,2.250722134028801946e-01,1.389230071436670655e-01,5.878815058396643645e-01,1.440055561855085875e-02,7.623823562762217787e-02,-1.694183013947152933e-04,-1.355346411157726033e-03,-5.590803946025625117e-03,1.778892164644517221e-03,4.569211588615489372e-01
6.000000000000000472e-02,0.000000000000000000e+00,2.247309667602818972e-01,1.386851737180894162e-01,5.867579967852879497e-01,1.439931567512736481e-02,7.611873541204583482e-02,-1.581101329033588528e-04,-1.321348967835215367e-03,-5.556441813460910248e-03,1.773092204701957842e-03,4.564639536919982699e-01
6.999999999999999278e-02,0.000000000000000000e+00,2.243897216431544051e-01,1.384473459321644007e-01,5.856345318141963352e-01,1.439807227271693545e-02,7.599923638853722796e-02,-1.468038741531916831e-04,-1.287357050266453584e-03,-5.522084189300846720e-03,1.767292792690352979e-03,4.560067109369274618e-01
8.000000000000000167e-02,0.000000000000000000e+00,2.240484780578898549e-01,1.382095238095238099e-01,5.845111111111110924e-01,1.439682539682539918e-02,7.587973856209152823e-02,-1.354995331465915973e-04,-1.253370681605974098e-03,-5.487731092436973906e-03,1.761493930905695671e-03,4.555494304388422178e-01
8.999999999999999667e-02,0.000000000000000000e+00,2.237072360109161051e-01,1.379717073739316069e-01,5.833877348617878544e-01,1.439557503287748272e-02,7.576024193773168991e-02,-1.241971179307071549e-04,-1.219389885137855348e-03,-5.453382541866527017e-03,1.755695621656822199e-03,4.550921120393668362e-01
9.999999999999999167e-02,0.000000000000000000e+00,2.233659955086971793e-01,1.377338966492850647e-01,5.822644032530227554e-01,1.439432116621626803e-02,7.564074652050901959e-02,-1.128966365977739642e-04,-1.185414684276632404e-03,-5.419038556693182157e-03,1.749897867265506630e-03,4.546347555792385475e-01
1.100000000000000006e-01,0.000000000000000000e+00,2.230247565577332391e-01,1.374960916596153215e-01,5.811411164726597578e-01,1.439306378210259037e-02,7.552125231550300966e-02,-1.015980972854295752e-04,-1.151445102568205738e-03,-5.384699156127790987e-03,1.744100670066548852e-03,4.541773608983007970e-01
1.199999999999999956e-01,0.000000000000000000e+00,2.226835191645610557e-01,1.372582924290886852e-01,5.800178747095988685e-01,1.439180286571448315e-02,7.540175932782175461e-02,-9.030150817703178794e-05,-1.117481163690770820e-03,-5.350364359489147466e-03,1.738304032407866732e-03,4.537199278354975274e-01
