# eKEs,vp_T,vpp_T,vp_L,vpp_L,v2,v1-3,v3,v1-3+vL,2v1-3,electronic,elastic
1.000000000000000021e-02,0.000000000000000000e+00,2.936655149838522938e-01,1.814025434972477424e-01,7.682500287205735745e-01,1.868241057827067439e-02,9.949299437369245325e-02,-2.784045497938369214e-04,-1.934178977515079671e-03,-7.429005618182924799e-03,2.337132931164056463e-03,1.487376307273576836e-01
2.000000000000000042e-02,0.000000000000000000e+00,2.932640972537532420e-01,1.811194844379347968e-01,7.669003412669351816e-01,1.868344196265104423e-02,9.935195020139143962e-02,-2.637662394727198880e-04,-1.890324716221162757e-03,-7.385454705236175511e-03,2.329935115342364992e-03,1.486102954229220063e-01
2.999999999999999889e-02,0.000000000000000000e+00,2.928626828188986009e-01,1.808364235274942111e-01,7.655506292606399921e-01,1.868447649899150631e-02,9.921090658680195573e-02,-2.491263533198862738e-04,-1.846465912841511407e-03,-7.341900177250777586e-03,2.322736882423649500e-03,1.484829702014954234e-01
4.000000000000000083e-02,0.000000000000000000e+00,2.924612716944173241e-01,1.805533607574273391e-01,7.642008925889650639e-01,1.868551420176298161e-02,9.906986353248450894e-02,-2.344848841005543760e-04,-1.802602546523014932e-03,-7.298342017629773706e-03,2.315538230492980836e-03,1.483556551093699050e-01
5.000000000000000278e-02,0.000000000000000000e+00,2.920598638955306803e-01,1.802702961191833542e-01,7.628511311384954530e-01,1.868655508552510836e-02,9.892882104101526075e-02,-2.198418245355886484e-04,-1.758734596284713958e-03,-7.254780209674451148e-03,2.308339157623689238e-03,1.482283501931212222e-01
6.000000000000000472e-02,0.000000000000000000e+00,2.916584594375536965e-01,1.799872296041589714e-01,7.615013447951204384e-01,1.868759916492693240e-02,9.878777911498629050e-02,-2.051971673011578794e-04,-1.714862041016822040e-03,-7.211214736583566355e-03,2.301139661877276733e-03,1.481010554996111117e-01
6.999999999999999278e-02,0.000000000000000000e+00,2.912570583358957133e-01,1.797041612036979763e-01,7.601515334440276384e-01,1.868864645470758382e-02,9.864673775700551206e-02,-1.905509050283902531e-04,-1.670984859479734486e-03,-7.167645581452552171e-03,2.293939741303322594e-03,1.479737710759895797e-01
8.000000000000000167e-02,0.000000000000000000e+00,2.908556606060606620e-01,1.794210909090909190e-01,7.588016969696970149e-01,1.868969696969697419e-02,9.850569696969700695e-02,-1.759030303030298468e-04,-1.627103030303028285e-03,-7.124072727272725940e-03,2.286739393939393999e-03,1.478464969696969833e-01
8.999999999999999667e-02,0.000000000000000000e+00,2.904542662636481754e-01,1.791380187115744205e-01,7.574518352558960999e-01,1.869075072481648364e-02,9.836465675570085776e-02,-1.612535356650826937e-04,-1.583216531984452504e-03,-7.080496156930476785e-03,2.279538617810951493e-03,1.477192332284662790e-01
9.999999999999999167e-02,0.000000000000000000e+00,2.900528753243544200e-01,1.788549446023312006e-01,7.561019481856747770e-01,1.869180773507969975e-02,9.822361711767370329e-02,-1.466024136084673440e-04,-1.539325342888914552e-03,-7.036915853206472844e-03,2.272337410931257046e-03,1.475919799003253818e-01
1.100000000000000006e-01,0.000000000000000000e+00,2.896514878039725960e-01,1.785718685724893284e-01,7.547520356413587317e-01,1.869286801559309763e-02,9.808257805828847486e-02,-1.319496565806565363e-04,-1.495429441247445859e-03,-6.993331798774826864e-03,2.265135771301280809e-03,1.474647370335994134e-01
1.199999999999999956e-01,0.000000000000000000e+00,2.892501037183937140e-01,1.782887906131217781e-01,7.534020975045445656e-01,1.869393158155676846e-02,9.794153958023467388e-02,-1.172952569823166463e-04,-1.451528805156171659e-03,-6.949743976202280016e-03,2.257933696909601370e-03,1.473375046769129226e-01
1.300000000000000044e-01,0.000000000000000000e+00,2.888487230836074837e-01,1.780057107152463181e-01,7.520521336560941350e-01,1.869499844826516197e-02,9.780050168621853834e-02,-1.026392071669454545e-04,-1.407623412575257152e-03,-6.906152367947363153e-03,2.250731185732315117e-03,1.472102828791922724e-01
1.400000000000000133e-01,0.000000000000000000e+00,2.884473459157031461e-01,1.777226288698247059e-01,7.507021439761283332e-01,1.869606863110779768e-02,9.765946437896308452e-02,-8.798149944050702800e-05,-1.363713241327861678e-03,-6.862556956359566751e-03,2.243528235732935618e-03,1.470830716896680268e-01
1.500000000000000222e-01,0.000000000000000000e+00,2.880459722308698067e-01,1.774395450677624386e-01,7.493521283440215397e-01,1.869714214557001430e-02,9.751842766120830119e-02,-7.332212606105795497e-05,-1.319798269099057338e-03,-6.818957723678472672e-03,2.236324844862295613e-03,1.469558711578772270e-01
1.600000000000000033e-01,0.000000000000000000e+00,2.876446020453979346e-01,1.771564592999085308e-01,7.480020866383969569e-01,1.869821900723372954e-02,9.737739153571133011e-02,-5.866107923837967839e-05,-1.275878473434770592e-03,-6.775354652032925841e-03,2.229121011058451604e-03,1.468286813336659724e-01
1.700000000000000122e-01,0.000000000000000000e+00,2.872432353756792511e-01,1.768733715570545151e-01,7.466520187371180617e-01,1.869929923177815131e-02,9.723635600524638267e-02,-4.399835113359528468e-05,-1.231953831740676590e-03,-6.731747723440133051e-03,2.221916732246580206e-03,1.467015022671913083e-01
