# eKEs,vp_T,vpp_T,vp_L,vpp_L,v2,v1-3,v3,v1-3+vL,2v1-3,electronic,elastic
1.000000000000000021e-02,0.000000000000000000e+00,2.776300998890122163e-01,1.641163152053274066e-01,6.633034406215316814e-01,2.324981132075471663e-02,9.299924528301886650e-02,2.735271920088790370e-03,6.838179800221975274e-03,0.000000000000000000e+00,1.367635960044395185e-03,2.706866666666666865e-01
2.000000000000000042e-02,0.000000000000000000e+00,2.771885016648168998e-01,1.638552719200887797e-01,6.622483906770255668e-01,2.321283018867924611e-02,9.285132075471698443e-02,2.730921198668146473e-03,6.827302996670366400e-03,0.000000000000000000e+00,1.365460599334073237e-03,2.704400000000000137e-01
2.999999999999999889e-02,0.000000000000000000e+00,2.767469034406215278e-01,1.635942286348501251e-01,6.611933407325193413e-01,2.317584905660376865e-02,9.270339622641507460e-02,2.726570477247502577e-03,6.816426193118755791e-03,0.000000000000000000e+00,1.363285238623751288e-03,2.701933333333333409e-01
4.000000000000000083e-02,0.000000000000000000e+00,2.763053052164262113e-01,1.633331853496114983e-01,6.601382907880132267e-01,2.313886792452829813e-02,9.255547169811319252e-02,2.722219755826858680e-03,6.805549389567146917e-03,0.000000000000000000e+00,1.361109877913429340e-03,2.699466666666666681e-01
5.000000000000000278e-02,0.000000000000000000e+00,2.758637069922308394e-01,1.630721420643728992e-01,6.590832408435072232e-01,2.310188679245282761e-02,9.240754716981131045e-02,2.717869034406215217e-03,6.794672586015538043e-03,0.000000000000000000e+00,1.358934517203107609e-03,2.696999999999999953e-01
6.000000000000000472e-02,0.000000000000000000e+00,2.754221087680355229e-01,1.628110987791342723e-01,6.580281908990011086e-01,2.306490566037735709e-02,9.225962264150942838e-02,2.713518312985571754e-03,6.783795782463928302e-03,0.000000000000000000e+00,1.356759156492785877e-03,2.694533333333333225e-01
6.999999999999999278e-02,0.000000000000000000e+00,2.749805105438402064e-01,1.625500554938956455e-01,6.569731409544949940e-01,2.302792452830188658e-02,9.211169811320754630e-02,2.709167591564927858e-03,6.772918978912319428e-03,0.000000000000000000e+00,1.354583795782463929e-03,2.692066666666666497e-01
8.000000000000000167e-02,0.000000000000000000e+00,2.745389123196448899e-01,1.622890122086570464e-01,6.559180910099888795e-01,2.299094339622641606e-02,9.196377358490566423e-02,2.704816870144284395e-03,6.762042175360710554e-03,0.000000000000000000e+00,1.352408435072142198e-03,2.689599999999999769e-01
8.999999999999999667e-02,0.000000000000000000e+00,2.740973140954495180e-01,1.620279689234183917e-01,6.548630410654827649e-01,2.295396226415093860e-02,9.181584905660375440e-02,2.700466148723640065e-03,6.751165371809099945e-03,0.000000000000000000e+00,1.350233074361820032e-03,2.687133333333333596e-01
9.999999999999999167e-02,0.000000000000000000e+00,2.736557158712541460e-01,1.617669256381797649e-01,6.538079911209766504e-01,2.291698113207546808e-02,9.166792452830187232e-02,2.696115427302996602e-03,6.740288568257491071e-03,0.000000000000000000e+00,1.348057713651498301e-03,2.684666666666666868e-01
1.100000000000000006e-01,0.000000000000000000e+00,2.732141176470588295e-01,1.615058823529411380e-01,6.527529411764705358e-01,2.287999999999999756e-02,9.151999999999999025e-02,2.691764705882352705e-03,6.729411764705882197e-03,0.000000000000000000e+00,1.345882352941176353e-03,2.682200000000000140e-01
1.199999999999999956e-01,0.000000000000000000e+00,2.727725194228635131e-01,1.612448390677025389e-01,6.516978912319644213e-01,2.284301886792452704e-02,9.137207547169810817e-02,2.687413984461709242e-03,6.718534961154272456e-03,0.000000000000000000e+00,1.343706992230854621e-03,2.679733333333333412e-01
1.300000000000000044e-01,0.000000000000000000e+00,2.723309211986681966e-01,1.609837957824639121e-01,6.506428412874584177e-01,2.280603773584905652e-02,9.122415094339622610e-02,2.683063263041065780e-03,6.707658157602663582e-03,0.000000000000000000e+00,1.341531631520532890e-03,2.677266666666666683e-01
1.400000000000000133e-01,0.000000000000000000e+00,2.718893229744728246e-01,1.607227524972252852e-01,6.495877913429523032e-01,2.276905660377358601e-02,9.107622641509434402e-02,2.678712541620421883e-03,6.696781354051054708e-03,0.000000000000000000e+00,1.339356270810210942e-03,2.674799999999999955e-01
1.500000000000000222e-01,0.000000000000000000e+00,2.714477247502774526e-01,1.604617092119866306e-01,6.485327413984460776e-01,2.273207547169810855e-02,9.092830188679243419e-02,2.674361820199777987e-03,6.685904550499444099e-03,0.000000000000000000e+00,1.337180910099888993e-03,2.672333333333333227e-01
1.600000000000000033e-01,0.000000000000000000e+00,2.710061265260821362e-01,1.602006659267480315e-01,6.474776914539399630e-01,2.269509433962263803e-02,9.078037735849055212e-02,2.670011098779134090e-03,6.675027746947835225e-03,0.000000000000000000e+00,1.335005549389567045e-03,2.669866666666667054e-01
1.700000000000000122e-01,0.000000000000000000e+00,2.705645283018868197e-01,1.599396226415094047e-01,6.464226415094339595e-01,2.265811320754716751e-02,9.063245283018867005e-02,2.665660377358490627e-03,6.664150943396226351e-03,0.000000000000000000e+00,1.332830188679245314e-03,2.667400000000000326e-01
1.800000000000000211e-01,0.000000000000000000e+00,2.701229300776914477e-01,1.596785793562707778e-01,6.453675915649278449e-01,2.262113207547169699e-02,9.048452830188678797e-02,2.661309655937846731e-03,6.653274139844616610e-03,0.000000000000000000e+00,1.330654827968923365e-03,2.664933333333333598e-01
1.900000000000000022e-01,0.000000000000000000e+00,2.696813318534961312e-01,1.594175360710321787e-01,6.443125416204217304e-01,2.258415094339622647e-02,9.033660377358490590e-02,2.656958934517203268e-03,6.642397336293007735e-03,0.000000000000000000e+00,1.328479467258601634e-03,2.662466666666666870e-01
2.000000000000000111e-01,0.000000000000000000e+00,2.692397336293008148e-01,1.591564927857935519e-01,6.432574916759157269e-01,2.254716981132075596e-02,9.018867924528302382e-02,2.652608213096559371e-03,6.631520532741398861e-03,0.000000000000000000e+00,1.326304106548279686e-03,2.660000000000000142e-01
2.100000000000000200e-01,0.000000000000000000e+00,2.687981354051054428e-01,1.588954495005548972e-01,6.422024417314095013e-01,2.251018867924527850e-02,9.004075471698111399e-02,2.648257491675915475e-03,6.620643729189788253e-03,0.000000000000000000e+00,1.324128745837957737e-03,2.657533333333333414e-01
2.200000000000000011e-01,0.000000000000000000e+00,2.683565371809101263e-01,1.586344062153162981e-01,6.411473917869033867e-01,2.247320754716980798e-02,8.989283018867923192e-02,2.643906770255271578e-03,6.609766925638179379e-03,0.000000000000000000e+00,1.321953385127635789e-03,2.655066666666666686e-01
2.300000000000000100e-01,0.000000000000000000e+00,2.679149389567147543e-01,1.583733629300776713e-01,6.400923418423972722e-01,2.243622641509433746e-02,8.974490566037734984e-02,2.639556048834628115e-03,6.598890122086570505e-03,0.000000000000000000e+00,1.319778024417314058e-03,2.652599999999999958e-01
2.400000000000000189e-01,0.000000000000000000e+00,2.674733407325194379e-01,1.581123196448390444e-01,6.390372918978912686e-01,2.239924528301886694e-02,8.959698113207546777e-02,2.635205327413984652e-03,6.588013318534960763e-03,0.000000000000000000e+00,1.317602663706992326e-03,2.650133333333333230e-01
2.500000000000000000e-01,0.000000000000000000e+00,2.670317425083241214e-01,1.578512763596004176e-01,6.379822419533851541e-01,2.236226415094339642e-02,8.944905660377358569e-02,2.630854605993340756e-03,6.577136514983351889e-03,0.000000000000000000e+00,1.315427302996670378e-03,2.647666666666667057e-01
2.600000000000000089e-01,0.000000000000000000e+00,2.665901442841288049e-01,1.575902330743618185e-01,6.369271920088790395e-01,2.232528301886792590e-02,8.930113207547170362e-02,2.626503884572697293e-03,6.566259711431743015e-03,0.000000000000000000e+00,1.313251942286348646e-03,2.645199999999999774e-01
2.700000000000000178e-01,0.000000000000000000e+00,2.661485460599334330e-01,1.573291897891231639e-01,6.358721420643728139e-01,2.228830188679244845e-02,8.915320754716979379e-02,2.622153163152052963e-03,6.555382907880132407e-03,0.000000000000000000e+00,1.311076581576026481e-03,2.642733333333333601e-01
2.800000000000000266e-01,0.000000000000000000e+00,2.657069478357380610e-01,1.570681465038845370e-01,6.348170921198668104e-01,2.225132075471697793e-02,8.900528301886791172e-02,2.617802441731409500e-03,6.544506104328523532e-03,0.000000000000000000e+00,1.308901220865704750e-03,2.640266666666666873e-01
2.900000000000000355e-01,0.000000000000000000e+00,2.652653496115427445e-01,1.568071032186459379e-01,6.337620421753606959e-01,2.221433962264150741e-02,8.885735849056602964e-02,2.613451720310765603e-03,6.533629300776913791e-03,0.000000000000000000e+00,1.306725860155382802e-03,2.637800000000000145e-01
