# eKEs,vp_T,vpp_T,vp_L,vpp_L,v2,v1-3,v3,v1-3+vL,2v1-3,electronic,elastic
1.000000000000000021e-02,0.000000000000000000e+00,2.672200000000000131e-01,1.650666666666666393e-01,6.990666666666666140e-01,1.700000000000000122e-02,9.053333333333334065e-02,-2.533333333333328413e-04,-1.759999999999998545e-03,-6.759999999999998649e-03,2.126666666666666462e-03,2.706866666666666865e-01
2.000000000000000042e-02,0.000000000000000000e+00,2.668400000000000216e-01,1.647999999999999743e-01,6.977999999999999758e-01,1.700000000000000122e-02,9.040000000000000813e-02,-2.399999999999993285e-04,-1.719999999999998440e-03,-6.719999999999998544e-03,2.119999999999999489e-03,2.704400000000000137e-01
2.999999999999999889e-02,0.000000000000000000e+00,2.664600000000000302e-01,1.645333333333333092e-01,6.965333333333332266e-01,1.700000000000000122e-02,9.026666666666667560e-02,-2.266666666666662493e-04,-1.679999999999998335e-03,-6.679999999999998439e-03,2.113333333333333383e-03,2.701933333333333409e-01
4.000000000000000083e-02,0.000000000000000000e+00,2.660800000000000387e-01,1.642666666666666442e-01,6.952666666666665884e-01,1.700000000000000122e-02,9.013333333333334307e-02,-2.133333333333327364e-04,-1.639999999999998230e-03,-6.639999999999998334e-03,2.106666666666666410e-03,2.699466666666666681e-01
5.000000000000000278e-02,0.000000000000000000e+00,2.657000000000000473e-01,1.639999999999999791e-01,6.939999999999999503e-01,1.700000000000000122e-02,8.999999999999999667e-02,-1.999999999999992235e-04,-1.599999999999998125e-03,-6.599999999999998229e-03,2.099999999999999437e-03,2.696999999999999953e-01
6.000000000000000472e-02,0.000000000000000000e+00,2.653200000000000003e-01,1.637333333333333141e-01,6.927333333333333121e-01,1.700000000000000122e-02,8.986666666666667802e-02,-1.866666666666661444e-04,-1.559999999999998020e-03,-6.559999999999998124e-03,2.093333333333333331e-03,2.694533333333333225e-01
6.999999999999999278e-02,0.000000000000000000e+00,2.649400000000000088e-01,1.634666666666666490e-01,6.914666666666666739e-01,1.700000000000000122e-02,8.973333333333333162e-02,-1.733333333333326315e-04,-1.519999999999997915e-03,-6.519999999999998019e-03,2.086666666666666357e-03,2.692066666666666497e-01
8.000000000000000167e-02,0.000000000000000000e+00,2.645600000000000174e-01,1.631999999999999840e-01,6.901999999999999247e-01,1.700000000000000122e-02,8.960000000000001297e-02,-1.599999999999995523e-04,-1.479999999999997810e-03,-6.479999999999997914e-03,2.079999999999999818e-03,2.689599999999999769e-01
8.999999999999999667e-02,0.000000000000000000e+00,2.641800000000000259e-01,1.629333333333333189e-01,6.889333333333332865e-01,1.700000000000000122e-02,8.946666666666666656e-02,-1.466666666666660394e-04,-1.439999999999997705e-03,-6.439999999999997810e-03,2.073333333333333278e-03,2.687133333333333596e-01
9.999999999999999167e-02,0.000000000000000000e+00,2.638000000000000345e-01,1.626666666666666539e-01,6.876666666666666483e-01,1.700000000000000122e-02,8.933333333333333404e-02,-1.333333333333325266e-04,-1.399999999999998468e-03,-6.399999999999998572e-03,2.066666666666666305e-03,2.684666666666666868e-01
1.100000000000000006e-01,0.000000000000000000e+00,2.634200000000000430e-01,1.623999999999999888e-01,6.863999999999998991e-01,1.700000000000000122e-02,8.920000000000000151e-02,-1.199999999999994474e-04,-1.359999999999998363e-03,-6.359999999999998467e-03,2.059999999999999765e-03,2.682200000000000140e-01
1.199999999999999956e-01,0.000000000000000000e+00,2.630400000000000515e-01,1.621333333333333238e-01,6.851333333333332609e-01,1.700000000000000122e-02,8.906666666666666898e-02,-1.066666666666663682e-04,-1.319999999999999125e-03,-6.319999999999999230e-03,2.053333333333333226e-03,2.679733333333333412e-01
1.300000000000000044e-01,0.000000000000000000e+00,2.626600000000000046e-01,1.618666666666666587e-01,6.838666666666666227e-01,1.700000000000000122e-02,8.893333333333333646e-02,-9.333333333333285534e-05,-1.279999999999998153e-03,-6.279999999999998257e-03,2.046666666666666252e-03,2.677266666666666683e-01
