# eKEs,vp_T,vpp_T,vp_L,vpp_L,v2,v1-3,v3,v1-3+vL,2v1-3,electronic,elastic
0.000000000000000000e+00,9.999999999999999452e-21,1.951927503323646507e+00,1.152267780810468434e+00,4.674150836769773498e+00,9.999999999999999452e-21,9.999999999999999452e-21,9.999999999999999452e-21,9.999999999999999452e-21,9.999999999999999452e-21,9.999999999999999452e-21,6.883444469868261528e+00
1.000500250125062503e-02,9.999999999999999452e-21,1.849928959895686287e+00,1.089439284324525525e+00,4.429116896451944285e+00,9.999999999999999452e-21,9.999999999999999452e-21,9.999999999999999452e-21,9.999999999999999452e-21,9.999999999999999452e-21,9.999999999999999452e-21,6.753938325277442090e+00
2.001000500250125005e-02,9.999999999999999452e-21,1.747930416467726067e+00,1.019563745016974110e+00,4.178445185437113629e+00,9.999999999999999452e-21,9.999999999999999452e-21,9.999999999999999452e-21,9.999999999999999452e-21,9.999999999999999452e-21,9.999999999999999452e-21,6.624432180686621763e+00
3.001500750375187682e-02,9.999999999999999452e-21,1.606995132471016330e+00,9.468243437166156129e-01,3.779144079613239171e+00,9.999999999999999452e-21,9.999999999999999452e-21,9.999999999999999452e-21,9.999999999999999452e-21,9.999999999999999452e-21,9.999999999999999452e-21,6.494926036095801436e+00
4.002001000500250011e-02,9.999999999999999452e-21,1.473901376545648345e+00,8.817363104814661678e-01,3.498580880499567058e+00,9.999999999999999452e-21,9.999999999999999452e-21,9.999999999999999452e-21,9.999999999999999452e-21,9.999999999999999452e-21,9.999999999999999452e-21,6.365419891504981109e+00
5.002501250625312340e-02,9.999999999999999452e-21,1.407332790630611008e+00,8.204089667580061196e-01,3.343851191880613527e+00,9.999999999999999452e-21,9.999999999999999452e-21,9.999999999999999452e-21,9.999999999999999452e-21,9.999999999999999452e-21,9.999999999999999452e-21,6.235913746914160782e+00
6.003001500750375363e-02,9.999999999999999452e-21,1.340764204715573671e+00,7.853799930060314516e-01,3.189121503261659107e+00,9.999999999999999452e-21,9.999999999999999452e-21,9.999999999999999452e-21,9.999999999999999452e-21,9.999999999999999452e-21,9.999999999999999452e-21,6.106407602323340456e+00
7.003501750875437692e-02,9.999999999999999452e-21,1.274642125435309525e+00,7.533256313853025077e-01,3.035717028630305236e+00,9.999999999999999452e-21,9.999999999999999452e-21,9.999999999999999452e-21,9.999999999999999452e-21,9.999999999999999452e-21,9.999999999999999452e-21,5.976901457732520129e+00
8.004002001000500022e-02,9.999999999999999452e-21,1.209657009245501236e+00,7.212712697645736748e-01,2.884226687122112054e+00,9.999999999999999452e-21,9.999999999999999452e-21,9.999999999999999452e-21,9.999999999999999452e-21,9.999999999999999452e-21,9.999999999999999452e-21,5.847395313141700690e+00
9.004502251125562351e-02,9.999999999999999452e-21,1.144792006389996564e+00,6.784387460360274957e-01,2.732736345613917983e+00,5.134633035452711852e-02,9.999999999999999452e-21,9.999999999999999452e-21,9.999999999999999452e-21,9.999999999999999452e-21,9.999999999999999452e-21,5.717889168550879475e+00
1.000500250125062468e-01,9.999999999999999452e-21,1.085970341262569194e+00,6.348428465249533748e-01,2.587297059693820067e+00,8.262851492719992808e-02,9.999999999999999452e-21,9.999999999999999452e-21,9.999999999999999452e-21,9.999999999999999452e-21,9.999999999999999452e-21,5.588383023960060036e+00
1.100550275137568701e-01,9.999999999999999452e-21,1.027148676135141825e+00,6.143563057257425131e-01,2.444135633182807688e+00,7.917588419817286893e-02,9.999999999999999452e-21,9.999999999999999452e-21,9.999999999999999452e-21,9.999999999999999452e-21,9.999999999999999452e-21,5.458876879369239710e+00
