# eKEs,vp_T,vpp_T,vp_L,vpp_L,v2,v1-3,v3,v1-3+vL,2v1-3,electronic,elastic
1.000000000000000021e-02,0.000000000000000000e+00,3.722042175360710248e-01,2.200221975582685452e-01,8.892563817980021490e-01,3.116981132075471311e-02,1.246792452830188525e-01,3.667036625971143229e-03,9.167591564927857206e-03,0.000000000000000000e+00,1.833518312985571615e-03,5.999999999999998668e-01
2.000000000000000042e-02,0.000000000000000000e+00,3.711155578768688401e-01,2.193786549025825150e-01,8.866553968979378197e-01,3.107864277786586207e-02,1.243145711114634483e-01,3.656310915043042495e-03,9.140777287607607104e-03,0.000000000000000000e+00,1.828155457521521247e-03,5.974285714285711979e-01
2.999999999999999889e-02,0.000000000000000000e+00,3.700268982176666555e-01,2.187351122468965126e-01,8.840544119978734905e-01,3.098747423497700756e-02,1.239498969399080303e-01,3.645585204114942194e-03,9.113963010287355268e-03,0.000000000000000000e+00,1.822792602057471097e-03,5.948571428571425290e-01
4.000000000000000083e-02,0.000000000000000000e+00,3.689382385584644708e-01,2.180915695912104824e-01,8.814534270978091612e-01,3.089630569208815306e-02,1.235852227683526122e-01,3.634859493186841893e-03,9.087148732967105166e-03,0.000000000000000000e+00,1.817429746593420947e-03,5.922857142857143042e-01
5.000000000000000278e-02,0.000000000000000000e+00,3.678495788992622861e-01,2.174480269355244522e-01,8.788524421977448320e-01,3.080513714919930202e-02,1.232205485967972081e-01,3.624133782258741592e-03,9.060334455646853330e-03,0.000000000000000000e+00,1.812066891129370796e-03,5.897142857142856354e-01
6.000000000000000472e-02,0.000000000000000000e+00,3.667609192400601015e-01,2.168044842798384220e-01,8.762514572976803917e-01,3.071396860631044751e-02,1.228558744252417900e-01,3.613408071330641291e-03,9.033520178326603228e-03,0.000000000000000000e+00,1.806704035665320646e-03,5.871428571428569665e-01
6.999999999999999278e-02,0.000000000000000000e+00,3.656722595808579168e-01,2.161609416241524195e-01,8.736504723976160625e-01,3.062280006342159300e-02,1.224912002536863720e-01,3.602682360402540557e-03,9.006705901006351392e-03,0.000000000000000000e+00,1.801341180201270278e-03,5.845714285714282976e-01
8.000000000000000167e-02,0.000000000000000000e+00,3.645835999216556766e-01,2.155173989684663616e-01,8.710494874975516222e-01,3.053163152053273502e-02,1.221265260821309401e-01,3.591956649474439822e-03,8.979891623686099555e-03,0.000000000000000000e+00,1.795978324737219911e-03,5.819999999999998508e-01
8.999999999999999667e-02,0.000000000000000000e+00,3.634949402624534920e-01,2.148738563127803314e-01,8.684485025974872929e-01,3.044046297764388398e-02,1.217618519105755359e-01,3.581230938546339521e-03,8.953077346365847719e-03,0.000000000000000000e+00,1.790615469273169761e-03,5.794285714285711819e-01
9.999999999999999167e-02,0.000000000000000000e+00,3.624062806032513073e-01,2.142303136570943012e-01,8.658475176974229637e-01,3.034929443475502947e-02,1.213971777390201179e-01,3.570505227618239220e-03,8.926263069045597617e-03,0.000000000000000000e+00,1.785252613809119610e-03,5.768571428571429571e-01
1.100000000000000006e-01,0.000000000000000000e+00,3.613176209440491227e-01,2.135867710014082987e-01,8.632465327973586344e-01,3.025812589186617496e-02,1.210325035674646998e-01,3.559779516690138486e-03,8.899448791725345781e-03,0.000000000000000000e+00,1.779889758345069243e-03,5.742857142857142883e-01
1.199999999999999956e-01,0.000000000000000000e+00,3.602289612848468825e-01,2.129432283457222685e-01,8.606455478972943052e-01,3.016695734897732392e-02,1.206678293959092957e-01,3.549053805762038185e-03,8.872634514405095679e-03,0.000000000000000000e+00,1.774526902881019092e-03,5.717142857142856194e-01
1.300000000000000044e-01,0.000000000000000000e+00,3.591403016256446978e-01,2.122996856900362384e-01,8.580445629972298649e-01,3.007578880608846941e-02,1.203031552243538777e-01,3.538328094833937884e-03,8.845820237084843843e-03,0.000000000000000000e+00,1.769164047416968942e-03,5.691428571428569505e-01
1.400000000000000133e-01,0.000000000000000000e+00,3.580516419664425132e-01,2.116561430343502082e-01,8.554435780971655356e-01,2.998462026319961837e-02,1.199384810527984735e-01,3.527602383905837583e-03,8.819005959764593741e-03,0.000000000000000000e+00,1.763801191952918792e-03,5.665714285714282816e-01
1.500000000000000222e-01,0.000000000000000000e+00,3.569629823072403285e-01,2.110126003786642057e-01,8.528425931971012064e-01,2.989345172031076386e-02,1.195738068812430555e-01,3.516876672977737282e-03,8.792191682444341905e-03,0.000000000000000000e+00,1.758438336488868641e-03,5.640000000000000568e-01
